[2020-07-15T08:44:18.331] [INFO] req - ::ffff:192.168.14.52 - - "GET /projects HTTP/1.1" 200 42 "https://2021001141636226.eco.dingtalkapps.com/index.html" "Mozilla/5.0 (Linux; U; Android 10; zh-CN; TAS-AL00 Build/HUAWEITAS-AL00) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/69.0.3497.100 UWS/3.22.0.30 Mobile Safari/537.36 UCBS/3.22.0.36_200620100408 ChannelId(6) NebulaSDK/1.8.100112 Nebula AliApp(DingTalk/5.1.11) com.alibaba.android.rimet/13426945 Channel/227200 language/zh-CN colorScheme/light NebulaX/1.0.0 Ariver/1.0.1.93"
[2020-07-15T14:44:15.911] [INFO] req - ::ffff:192.168.15.81 - - "GET /projects HTTP/1.1" 200 42 "https://2021001141636226.eco.dingtalkapps.com/2021001141636226/1591930619000/index.html#pages/index/index" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 AliApp(DingTalk/5.1.10) com.laiwang.DingTalk/13369490 Channel/201200 language/zh-Hans-CN UT4Aplus/0.0.6 Mobile/17F80 Ariver/1.0.6"
[2020-07-15T15:48:41.867] [INFO] req - ::ffff:192.168.14.40 - - "OPTIONS /deps HTTP/1.1" 204 - "http://192.168.14.40:81/admin/group" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-15T15:48:41.904] [INFO] req - ::ffff:192.168.14.40 - - "GET /deps HTTP/1.1" 200 39 "http://192.168.14.40:81/admin/group" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-15T15:52:42.065] [INFO] req - ::ffff:192.168.14.40 - - "OPTIONS /users HTTP/1.1" 204 - "http://192.168.14.40:81/admin/user" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-15T15:52:42.628] [INFO] req - ::ffff:192.168.14.40 - - "GET /users HTTP/1.1" 200 39 "http://192.168.14.40:81/admin/user" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-15T16:04:16.741] [INFO] req - ::ffff:192.168.14.40 - - "OPTIONS /sessions/current HTTP/1.1" 204 - "http://192.168.14.40:81/admin/type" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-15T16:04:16.763] [INFO] req - ::ffff:192.168.14.40 - - "OPTIONS /types HTTP/1.1" 204 - "http://192.168.14.40:81/admin/type" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-15T16:04:16.779] [INFO] req - ::ffff:192.168.14.40 - - "GET /sessions/current HTTP/1.1" 200 39 "http://192.168.14.40:81/admin/type" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-15T16:04:16.786] [INFO] req - ::ffff:192.168.14.40 - - "GET /types HTTP/1.1" 200 39 "http://192.168.14.40:81/admin/type" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-15T16:04:18.935] [INFO] req - ::ffff:192.168.14.40 - - "OPTIONS /sessions HTTP/1.1" 204 - "http://192.168.14.40:81/admin/type" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-15T16:04:20.138] [INFO] req - ::ffff:192.168.14.40 - - "POST /sessions HTTP/1.1" 200 364 "http://192.168.14.40:81/admin/type" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-15T16:04:23.628] [INFO] req - ::ffff:192.168.14.40 - - "OPTIONS /types HTTP/1.1" 204 - "http://192.168.14.40:81/admin/type" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-15T16:04:23.634] [INFO] req - ::ffff:192.168.14.40 - - "OPTIONS /deps HTTP/1.1" 204 - "http://192.168.14.40:81/admin/type" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-15T16:04:23.648] [INFO] req - ::ffff:192.168.14.40 - - "GET /types HTTP/1.1" 200 321 "http://192.168.14.40:81/admin/type" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-15T16:04:23.684] [INFO] req - ::ffff:192.168.14.40 - - "GET /deps HTTP/1.1" 200 1317 "http://192.168.14.40:81/admin/type" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-15T16:04:26.816] [INFO] req - ::ffff:192.168.14.40 - - "OPTIONS /sessions/current HTTP/1.1" 204 - "http://192.168.14.40:81/admin/type" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-15T16:04:26.844] [INFO] req - ::ffff:192.168.14.40 - - "GET /types HTTP/1.1" 200 321 "http://192.168.14.40:81/admin/type" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
