[2020-07-16T10:01:35.559] [INFO] req - ::ffff:192.168.15.81 - - "GET /projects HTTP/1.1" 200 42 "https://2021001141636226.eco.dingtalkapps.com/2021001141636226/1591930619000/index.html#pages/index/index" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 AliApp(DingTalk/5.1.11) com.laiwang.DingTalk/13401166 Channel/201200 language/zh-Hans-CN UT4Aplus/0.0.6 Mobile/17F80 Ariver/1.0.6"
[2020-07-16T13:54:57.957] [INFO] req - ::ffff:192.168.14.40 - - "OPTIONS /users/self/deps HTTP/1.1" 204 - "http://192.168.14.40:81/admin/type" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-16T13:54:57.989] [INFO] req - ::ffff:192.168.14.40 - - "POST /users/self/deps HTTP/1.1" 200 52 "http://192.168.14.40:81/admin/type" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-16T14:10:33.089] [INFO] req - ::ffff:192.168.14.40 - - "OPTIONS /deps HTTP/1.1" 204 - "http://192.168.14.40:81/admin/user" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-16T14:10:33.118] [INFO] req - ::ffff:192.168.14.40 - - "GET /deps HTTP/1.1" 200 1317 "http://192.168.14.40:81/admin/user" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-16T14:10:33.203] [INFO] req - ::ffff:192.168.14.40 - - "OPTIONS /users/self/deps HTTP/1.1" 204 - "http://192.168.14.40:81/admin/type" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-16T14:10:33.210] [INFO] req - ::ffff:192.168.14.40 - - "GET /deps HTTP/1.1" 200 1317 "http://192.168.14.40:81/admin/user" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-16T14:10:33.244] [INFO] req - ::ffff:192.168.14.40 - - "POST /users/self/deps HTTP/1.1" 200 52 "http://192.168.14.40:81/admin/type" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-16T14:10:33.258] [INFO] req - ::ffff:192.168.14.40 - - "GET /deps HTTP/1.1" 200 1317 "http://192.168.14.40:81/admin/type" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-16T14:11:51.168] [INFO] req - ::ffff:192.168.14.40 - - "OPTIONS /deps HTTP/1.1" 204 - "http://192.168.14.40:81/admin/user" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
[2020-07-16T14:11:51.172] [INFO] req - ::ffff:192.168.14.40 - - "OPTIONS /users/self/deps HTTP/1.1" 204 - "http://192.168.14.40:81/admin/type" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36"
